% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 82.77    0.125785          11     10503           read
  5.06    0.007693        7693         1           perf_event_open
  3.68    0.005594          11       492           close
  1.66    0.002530          57        44           munmap
  1.65    0.002506           4       573        88 openat
  1.07    0.001629           4       338         6 readlink
  0.57    0.000861           2       308           pread64
  0.55    0.000838           5       164           mmap
  0.54    0.000815           2       286       187 stat
  0.52    0.000784           1       660           rt_sigprocmask
  0.47    0.000707           1       588           fstat
  0.45    0.000677           3       217           brk
  0.23    0.000355           1       319        37 newfstatat
  0.19    0.000291           1       225           futex
  0.15    0.000221          27         8         1 clock_nanosleep
  0.10    0.000146           0       211         1 lseek
  0.08    0.000124           4        27           mprotect
  0.07    0.000106           0       111       107 ioctl
  0.06    0.000092           1        66           rt_sigaction
  0.05    0.000078          19         4           bpf
  0.03    0.000048           1        36           getdents64
  0.01    0.000016          16         1           open
  0.01    0.000016           4         4           clock_gettime
  0.01    0.000009           3         3         1 access
  0.01    0.000008           2         3           getcwd
  0.01    0.000008           2         3           getrandom
  0.00    0.000007           3         2           chdir
  0.00    0.000006           6         1           write
  0.00    0.000004           2         2           uname
  0.00    0.000003           3         1         1 rt_sigreturn
  0.00    0.000003           0         4           fcntl
  0.00    0.000003           1         2           gettid
  0.00    0.000003           3         1           prlimit64
  0.00    0.000001           1         1           getpid
  0.00    0.000001           1         1           getuid
  0.00    0.000001           1         1           getgid
  0.00    0.000001           1         1           geteuid
  0.00    0.000001           1         1           getegid
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1           epoll_create1
  0.00    0.000000           0         1           rseq
------ ----------- ----------- --------- --------- ----------------
100.00    0.151971           9     15219       429 total
