% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 41.12    0.021398       21398         1           wait4
 18.95    0.009860        9860         1           perf_event_open
 11.29    0.005875           3      1916        74 newfstatat
  9.56    0.004977          16       302           close
  3.37    0.001754           3       454           read
  3.26    0.001697           2       630           futex
  2.92    0.001520           5       289         5 openat
  2.70    0.001406           7       186           mmap
  1.22    0.000637           1       489           fstat
  0.99    0.000513           1       436         5 lseek
  0.62    0.000324           8        40           mprotect
  0.57    0.000299          33         9         7 execve
  0.56    0.000294          36         8         2 bpf
  0.52    0.000269           1       219       213 ioctl
  0.45    0.000235           2        81         7 readlink
  0.38    0.000199           5        38           brk
  0.37    0.000192           3        50           getdents64
  0.32    0.000164          10        15           munmap
  0.26    0.000137           0       144           rt_sigaction
  0.14    0.000071          35         2           unlink
  0.12    0.000065           9         7           getrandom
  0.07    0.000035           5         7           write
  0.04    0.000019          19         1           open
  0.03    0.000015           5         3           clock_gettime
  0.02    0.000009           4         2         2 access
  0.02    0.000008           2         4           getpid
  0.02    0.000008           1         7           fcntl
  0.02    0.000008           2         3           pipe2
  0.01    0.000007           3         2           prlimit64
  0.01    0.000007           3         2           close_range
  0.01    0.000006           0        11           pread64
  0.01    0.000006           3         2           arch_prctl
  0.01    0.000005           2         2           set_robust_list
  0.01    0.000005           2         2           rseq
  0.01    0.000004           2         2           sigaltstack
  0.01    0.000004           2         2           gettid
  0.01    0.000004           2         2           set_tid_address
  0.01    0.000003           0         7           rt_sigprocmask
  0.01    0.000003           3         1           getcwd
  0.00    0.000000           0         2           poll
  0.00    0.000000           0         1         1 rt_sigreturn
  0.00    0.000000           0         2           dup2
  0.00    0.000000           0         1           vfork
  0.00    0.000000           0         1           uname
  0.00    0.000000           0         8         1 clock_nanosleep
  0.00    0.000000           0         1           epoll_create1
  0.00    0.000000           0         1         1 faccessat2
------ ----------- ----------- --------- --------- ----------------
100.00    0.052042           9      5396       318 total
