% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 85.89    0.129070          12     10511           read
  5.79    0.008702           9       963         1 poll
  1.76    0.002642          56        47           munmap
  1.44    0.002159           3       576        88 openat
  0.88    0.001319           3       339         7 readlink
  0.48    0.000721           4       168           mmap
  0.48    0.000714           2       319        37 newfstatat
  0.47    0.000710           3       216           brk
  0.47    0.000700           1       498           close
  0.46    0.000693           2       308           pread64
  0.45    0.000683           2       286       187 stat
  0.44    0.000656           0       660           rt_sigprocmask
  0.44    0.000655           1       591           fstat
  0.10    0.000148           4        36           getdents64
  0.10    0.000147           2        66           rt_sigaction
  0.10    0.000146           0       213           lseek
  0.08    0.000123           0       225           futex
  0.06    0.000097           0       114       108 ioctl
  0.06    0.000093           3        27           mprotect
  0.02    0.000024           3         8           write
  0.01    0.000012          12         1           memfd_create
  0.01    0.000010           5         2           perf_event_open
  0.00    0.000006           6         1           open
  0.00    0.000006           1         5           clock_gettime
  0.00    0.000005           0         9         1 bpf
  0.00    0.000004           1         4           fcntl
  0.00    0.000003           3         1           getegid
  0.00    0.000003           3         1         1 statfs
  0.00    0.000003           1         3           getrandom
  0.00    0.000002           0         3           getcwd
  0.00    0.000002           2         1           arch_prctl
  0.00    0.000002           0         4           gettid
  0.00    0.000002           2         1           set_tid_address
  0.00    0.000002           2         1           set_robust_list
  0.00    0.000002           2         1           epoll_create1
  0.00    0.000002           2         1           prlimit64
  0.00    0.000001           1         1         1 rt_sigreturn
  0.00    0.000001           1         1           rseq
  0.00    0.000000           0         4         1 access
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         2           uname
  0.00    0.000000           0         2           chdir
  0.00    0.000000           0         1           getuid
  0.00    0.000000           0         1           getgid
  0.00    0.000000           0         1           geteuid
------ ----------- ----------- --------- --------- ----------------
100.00    0.150270           9     16224       432 total
