% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 62.88    0.117880          11     10511           read
 30.93    0.057994           9      5980           poll
  1.24    0.002330          49        47           munmap
  0.88    0.001646           2       576        88 openat
  0.51    0.000952           3       286       187 stat
  0.46    0.000858           2       339         7 readlink
  0.45    0.000845           3       218           brk
  0.40    0.000741           4       168           mmap
  0.32    0.000601           1       591           fstat
  0.28    0.000531           1       498           close
  0.28    0.000521          57         9         1 bpf
  0.25    0.000477           1       319        37 newfstatat
  0.25    0.000476           0       660           rt_sigprocmask
  0.24    0.000446           1       308           pread64
  0.15    0.000275           1       225           futex
  0.07    0.000140           0       213         1 lseek
  0.07    0.000137          68         2           perf_event_open
  0.06    0.000121           1        67           rt_sigaction
  0.06    0.000117           4        27           mprotect
  0.06    0.000112           3        36           getdents64
  0.06    0.000111           0       114       108 ioctl
  0.03    0.000058          14         4         1 access
  0.01    0.000028           3         8           write
  0.01    0.000016          16         1           memfd_create
  0.01    0.000015           7         2           chdir
  0.01    0.000014          14         1           open
  0.01    0.000012           2         5           clock_gettime
  0.00    0.000008           2         3           getrandom
  0.00    0.000005           5         1         1 statfs
  0.00    0.000004           1         4           gettid
  0.00    0.000003           0         4           fcntl
  0.00    0.000003           1         3           getcwd
  0.00    0.000002           1         2           uname
  0.00    0.000002           2         1           prlimit64
  0.00    0.000001           1         1           rt_sigreturn
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           getuid
  0.00    0.000000           0         1           getgid
  0.00    0.000000           0         1           geteuid
  0.00    0.000000           0         1           getegid
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1           epoll_create1
  0.00    0.000000           0         1           rseq
------ ----------- ----------- --------- --------- ----------------
100.00    0.187482           8     21244       431 total
