% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 75.64    0.085774          13      6540         1 epoll_wait
 13.22    0.014986       14986         1           wait4
  3.89    0.004406           2      1917        74 newfstatat
  1.48    0.001679           3       454           read
  1.10    0.001247           4       290         5 openat
  0.97    0.001102           1       630           futex
  0.86    0.000974           5       188           mmap
  0.49    0.000553           1       488           fstat
  0.37    0.000422           1       311           close
  0.34    0.000384           0       436         5 lseek
  0.23    0.000260          11        23         3 bpf
  0.22    0.000244           1       219       213 ioctl
  0.17    0.000191           4        43           brk
  0.14    0.000156           3        50           getdents64
  0.13    0.000147           1        82         8 readlink
  0.13    0.000144           9        15           munmap
  0.11    0.000122           0       145           rt_sigaction
  0.10    0.000111          55         2           perf_event_open
  0.10    0.000108           2        40           mprotect
  0.06    0.000073          10         7           getrandom
  0.05    0.000056           4        13           write
  0.04    0.000045           3        14           pread64
  0.03    0.000038          38         1           vfork
  0.02    0.000027          13         2           unlink
  0.02    0.000026           8         3           pipe2
  0.02    0.000022           3         7           rt_sigprocmask
  0.01    0.000014           3         4           clock_gettime
  0.01    0.000012           6         2         1 faccessat2
  0.01    0.000011           5         2           epoll_create1
  0.01    0.000010           5         2           dup3
  0.01    0.000008           2         4           getpid
  0.01    0.000006           6         1           open
  0.00    0.000005           2         2           poll
  0.00    0.000005           5         1           epoll_ctl
  0.00    0.000004           4         1         1 rt_sigreturn
  0.00    0.000004           4         1           getcwd
  0.00    0.000004           2         2           arch_prctl
  0.00    0.000004           2         2           set_tid_address
  0.00    0.000004           2         2           set_robust_list
  0.00    0.000004           2         2           rseq
  0.00    0.000002           1         2           sigaltstack
  0.00    0.000002           0         3           gettid
  0.00    0.000002           1         2           prlimit64
  0.00    0.000001           0         7           fcntl
  0.00    0.000000           0         2         2 access
  0.00    0.000000           0         2           dup2
  0.00    0.000000           0         9         7 execve
  0.00    0.000000           0         1           uname
  0.00    0.000000           0         2           memfd_create
  0.00    0.000000           0         2           close_range
------ ----------- ----------- --------- --------- ----------------
100.00    0.113399           9     11981       320 total
