% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 64.23    0.121866          11     10511           read
 28.46    0.054003           9      5981           poll
  1.70    0.003233          68        47           munmap
  0.97    0.001838           3       576        88 openat
  0.62    0.001182           3       339         7 readlink
  0.47    0.000885           3       286       187 stat
  0.44    0.000830           4       168           mmap
  0.41    0.000785           1       498           close
  0.40    0.000766           3       215           brk
  0.40    0.000761          84         9         1 bpf
  0.34    0.000638           2       319        37 newfstatat
  0.33    0.000619           0       660           rt_sigprocmask
  0.29    0.000555           1       308           pread64
  0.28    0.000530           0       591           fstat
  0.23    0.000445           1       225           futex
  0.07    0.000128           0       213         1 lseek
  0.07    0.000128           3        36           getdents64
  0.06    0.000121           1       114       108 ioctl
  0.06    0.000121          60         2           perf_event_open
  0.06    0.000109           4        27           mprotect
  0.02    0.000041           5         8           write
  0.01    0.000023          23         1           open
  0.01    0.000020           4         5           clock_gettime
  0.01    0.000018           4         4         1 access
  0.01    0.000017          17         1           memfd_create
  0.01    0.000012           6         2           chdir
  0.01    0.000012           4         3           getrandom
  0.00    0.000009           3         3           getcwd
  0.00    0.000007           1         4           gettid
  0.00    0.000005           0        67           rt_sigaction
  0.00    0.000005           5         1         1 statfs
  0.00    0.000005           5         1           prlimit64
  0.00    0.000004           2         2           uname
  0.00    0.000002           2         1           rt_sigreturn
  0.00    0.000002           2         1           epoll_create1
  0.00    0.000001           0         4           fcntl
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           getuid
  0.00    0.000000           0         1           getgid
  0.00    0.000000           0         1           geteuid
  0.00    0.000000           0         1           getegid
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1           rseq
------ ----------- ----------- --------- --------- ----------------
100.00    0.189726           8     21242       431 total
