% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 68.37    0.068748          10      6595           epoll_wait
 16.86    0.016956       16956         1           wait4
  5.30    0.005333           2      1917        74 newfstatat
  1.69    0.001704           3       454           read
  1.52    0.001529           5       290         5 openat
  1.05    0.001051           1       630           futex
  1.03    0.001039           5       188           mmap
  0.65    0.000649           1       488           fstat
  0.53    0.000537          59         9         7 execve
  0.44    0.000440           1       311           close
  0.38    0.000380           0       436         5 lseek
  0.36    0.000360          15        23         3 bpf
  0.28    0.000277           1       219       211 ioctl
  0.25    0.000247           1       145           rt_sigaction
  0.25    0.000247           3        82         8 readlink
  0.19    0.000190           4        43           brk
  0.19    0.000190           3        50           getdents64
  0.18    0.000183          91         2           perf_event_open
  0.17    0.000166           4        40           mprotect
  0.08    0.000081           5        15           munmap
  0.04    0.000038           2        13           write
  0.03    0.000028           4         7           getrandom
  0.02    0.000024          12         2           unlink
  0.02    0.000023           1        14           pread64
  0.02    0.000016          16         1           open
  0.01    0.000013           6         2         2 access
  0.01    0.000013           6         2           dup3
  0.01    0.000011           5         2         1 faccessat2
  0.01    0.000010           2         4           clock_gettime
  0.01    0.000009           1         7           fcntl
  0.01    0.000007           1         7           rt_sigprocmask
  0.01    0.000007           7         1           epoll_ctl
  0.01    0.000006           1         4           getpid
  0.01    0.000006           3         2           epoll_create1
  0.00    0.000005           2         2           close_range
  0.00    0.000004           2         2           arch_prctl
  0.00    0.000004           2         2           set_robust_list
  0.00    0.000004           2         2           rseq
  0.00    0.000003           1         2           set_tid_address
  0.00    0.000002           2         1           rt_sigreturn
  0.00    0.000002           1         2           sigaltstack
  0.00    0.000002           0         3           gettid
  0.00    0.000002           1         2           prlimit64
  0.00    0.000000           0         2           poll
  0.00    0.000000           0         2           dup2
  0.00    0.000000           0         1           vfork
  0.00    0.000000           0         1           uname
  0.00    0.000000           0         1           getcwd
  0.00    0.000000           0         3           pipe2
  0.00    0.000000           0         2           memfd_create
------ ----------- ----------- --------- --------- ----------------
100.00    0.100546           8     12036       316 total
