% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 45.45    0.016971       16971         1           wait4
 20.07    0.007494           3      1917        74 newfstatat
 15.42    0.005758           9       623         1 epoll_wait
  3.79    0.001415           3       443           read
  3.67    0.001372           4       276         5 openat
  1.95    0.000728          31        23         3 bpf
  1.63    0.000607           1       471           fstat
  1.45    0.000542           1       294           close
  1.23    0.000459           3       129           mmap
  0.97    0.000364           4        82         8 readlink
  0.97    0.000363           0       429         2 lseek
  0.69    0.000259           1       219       213 ioctl
  0.57    0.000214           4        50           getdents64
  0.45    0.000169          84         2           perf_event_open
  0.40    0.000150           4        34           brk
  0.21    0.000079           1        66           rt_sigaction
  0.18    0.000068           2        27           mprotect
  0.15    0.000055           5        10           write
  0.11    0.000040           4        10           munmap
  0.10    0.000037           6         6           getrandom
  0.10    0.000037          18         2           memfd_create
  0.10    0.000036           3        11           pread64
  0.07    0.000027           9         3           unlink
  0.05    0.000017          17         1           open
  0.04    0.000016           8         2           dup3
  0.03    0.000013           6         2         1 faccessat2
  0.03    0.000012           6         2           epoll_create1
  0.02    0.000009           2         4           clock_gettime
  0.02    0.000008           8         1           epoll_ctl
  0.02    0.000006           1         4           getpid
  0.02    0.000006           2         3           gettid
  0.01    0.000005           0         7           fcntl
  0.01    0.000004           4         1           getcwd
  0.01    0.000002           2         1         1 rt_sigreturn
  0.01    0.000002           0         3           futex
  0.00    0.000000           0         2           poll
  0.00    0.000000           0         2           rt_sigprocmask
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           vfork
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           uname
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         3           pipe2
  0.00    0.000000           0         1           prlimit64
  0.00    0.000000           0         1           rseq
------ ----------- ----------- --------- --------- ----------------
100.00    0.037344           7      5175       309 total
