% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 83.31    0.123563          11     10511           read
  7.26    0.010762          10      1013         1 poll
  1.62    0.002405           4       576        88 openat
  1.60    0.002373          50        47           munmap
  1.04    0.001545           4       339         7 readlink
  0.68    0.001004           3       286       187 stat
  0.66    0.000977           5       168           mmap
  0.58    0.000858           3       216           brk
  0.52    0.000765           1       591           fstat
  0.49    0.000732           1       498           close
  0.49    0.000725           1       660           rt_sigprocmask
  0.47    0.000704           2       308           pread64
  0.39    0.000576           1       319        37 newfstatat
  0.18    0.000267           1       225           futex
  0.17    0.000254          28         9         1 bpf
  0.10    0.000154           0       213           lseek
  0.10    0.000147           2        66           rt_sigaction
  0.08    0.000122           3        36           getdents64
  0.07    0.000108           0       114       108 ioctl
  0.07    0.000103           3        27           mprotect
  0.03    0.000050          25         2           perf_event_open
  0.03    0.000043          10         4         1 access
  0.01    0.000012          12         1           open
  0.01    0.000008           1         5           clock_gettime
  0.00    0.000007           3         2           chdir
  0.00    0.000006           1         4           fcntl
  0.00    0.000006           2         3           getrandom
  0.00    0.000005           2         2           uname
  0.00    0.000004           0         8           write
  0.00    0.000004           1         4           gettid
  0.00    0.000003           1         3           getcwd
  0.00    0.000003           3         1           epoll_create1
  0.00    0.000002           2         1         1 rt_sigreturn
  0.00    0.000002           2         1           arch_prctl
  0.00    0.000002           2         1           set_robust_list
  0.00    0.000002           2         1           prlimit64
  0.00    0.000002           2         1           rseq
  0.00    0.000001           1         1           getuid
  0.00    0.000001           1         1           getgid
  0.00    0.000001           1         1           getegid
  0.00    0.000001           1         1           set_tid_address
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           geteuid
  0.00    0.000000           0         1         1 statfs
  0.00    0.000000           0         1           memfd_create
------ ----------- ----------- --------- --------- ----------------
100.00    0.148309           9     16274       432 total
