% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 83.17    0.105963          10     10511           read
  6.17    0.007862           7      1039         1 poll
  2.17    0.002765          58        47           munmap
  1.76    0.002246           3       576        88 openat
  1.00    0.001277           3       339         7 readlink
  0.73    0.000930           5       168           mmap
  0.72    0.000911           3       286       187 stat
  0.54    0.000692           1       498           close
  0.54    0.000688           1       660           rt_sigprocmask
  0.54    0.000687           1       591           fstat
  0.49    0.000625           2       216           brk
  0.43    0.000554           1       319        37 newfstatat
  0.43    0.000549           1       308           pread64
  0.36    0.000460          51         9         1 bpf
  0.33    0.000415           1       225           futex
  0.12    0.000148           0       213           lseek
  0.10    0.000122           1       114       108 ioctl
  0.09    0.000111           1        66           rt_sigaction
  0.07    0.000092          46         2           perf_event_open
  0.07    0.000090           3        27           mprotect
  0.05    0.000064           1        36           getdents64
  0.04    0.000050          12         4         1 access
  0.03    0.000032           6         5           clock_gettime
  0.01    0.000018          18         1           open
  0.01    0.000011           5         2           chdir
  0.01    0.000009           3         3           getcwd
  0.01    0.000009           3         3           getrandom
  0.01    0.000007           1         4           gettid
  0.00    0.000006           3         2           uname
  0.00    0.000004           0         8           write
  0.00    0.000002           2         1         1 rt_sigreturn
  0.00    0.000002           0         4           fcntl
  0.00    0.000002           2         1           epoll_create1
  0.00    0.000001           1         1           getgid
  0.00    0.000001           1         1           getegid
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           getuid
  0.00    0.000000           0         1           geteuid
  0.00    0.000000           0         1         1 statfs
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1           prlimit64
  0.00    0.000000           0         1           memfd_create
  0.00    0.000000           0         1           rseq
------ ----------- ----------- --------- --------- ----------------
100.00    0.127405           7     16300       432 total
