[THREAD] Main poll: ident=139932398220736 native=1301397
[TIMING] BPF init CPU: 0.495s  wall: 0.498s
[TIMING] Setup CPU: 0.001s  wall: 0.001s
Starting to poll... (Ctrl+C to stop)
CPU [0] UID 1002 comm: gen_fast
CPU [0] UID 1002 comm: gen_fast
CPU [0] UID 1002 comm: gen_fast
CPU [0] UID 1002 comm: gen_fast
CPU [0] UID 1002 comm: gen_fast
CPU [0] UID 1002 comm: gen_fast
CPU [0] UID 1002 comm: gen_fast
CPU [0] UID 1002 comm: gen_fast
CPU [0] UID 1002 comm: gen_fast
CPU [0] UID 1002 comm: gen_fast
CPU [0] UID 1002 comm: gen_fast
CPU [0] UID 1002 comm: gen_fast
CPU [0] UID 1002 comm: gen_fast
CPU [0] UID 1002 comm: gen_fast
CPU [0] UID 1002 comm: gen_fast
CPU [0] UID 1002 comm: gen_fast
CPU [0] UID 1002 comm: gen_fast
CPU [0] UID 1002 comm: gen_fast
CPU [0] UID 1002 comm: gen_fast
CPU [0] UID 1002 comm: gen_fast
CPU [0] UID 1002 comm: gen_fast
CPU [0] UID 1002 comm: gen_fast
CPU [0] UID 1002 comm: gen_fast
CPU [0] UID 1002 comm: gen_fast
CPU [0] UID 1002 comm: gen_fast
CPU [0] UID 1002 comm: gen_fast
CPU [0] UID 1002 comm: gen_fast
CPU [0] UID 1002 comm: gen_fast
CPU [0] UID 1002 comm: gen_fast
CPU [0] UID 1002 comm: gen_fast
CPU [0] UID 1002 comm: gen_fast
CPU [0] UID 1002 comm: gen_fast
CPU [0] UID 1002 comm: gen_fast
CPU [0] UID 1002 comm: gen_fast
CPU [0] UID 1002 comm: gen_fast
CPU [0] UID 1002 comm: gen_fast
CPU [0] UID 1002 comm: gen_fast
CPU [0] UID 1002 comm: gen_fast
CPU [0] UID 1002 comm: gen_fast
CPU [0] UID 1002 comm: gen_fast
CPU [0] UID 1002 comm: gen_fast
CPU [0] UID 1002 comm: gen_fast
CPU [0] UID 1002 comm: gen_fast
CPU [0] UID 1002 comm: gen_fast
CPU [0] UID 1002 comm: gen_fast
CPU [0] UID 1002 comm: gen_fast
CPU [0] UID 1002 comm: gen_fast
CPU [0] UID 1002 comm: gen_fast
CPU [0] UID 1002 comm: gen_fast
CPU [0] UID 1002 comm: gen_fast
[TIMING] Poll loop CPU: 0.032s  wall: 2.457s
[TIMING] Total CPU: 0.528s  wall: 2.956s
[SUMMARY] Events in using perf only
