% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 35.45    0.009946        9946         1           wait4
 24.89    0.006985          10       646         1 epoll_wait
 19.26    0.005404           2      1917        74 newfstatat
  4.60    0.001292           4       276         5 openat
  4.12    0.001156           2       443           read
  2.49    0.000700           5       129           mmap
  1.81    0.000508           1       471           fstat
  1.50    0.000421           0       429         2 lseek
  1.29    0.000362           1       294           close
  0.98    0.000276           1       219       213 ioctl
  0.83    0.000233           2        82         8 readlink
  0.39    0.000110           3        34           brk
  0.37    0.000103           3        27           mprotect
  0.30    0.000085           1        50           getdents64
  0.27    0.000075           3        23         3 bpf
  0.24    0.000068           6        10           write
  0.22    0.000062          62         1           vfork
  0.16    0.000046          15         3           unlink
  0.16    0.000046          23         2           perf_event_open
  0.16    0.000044           4        10           munmap
  0.14    0.000040           6         6           getrandom
  0.08    0.000022           7         3           pipe2
  0.05    0.000014          14         1           open
  0.05    0.000013           3         4           clock_gettime
  0.03    0.000009           3         3           futex
  0.02    0.000007           1         4           getpid
  0.02    0.000006           3         2           rt_sigprocmask
  0.02    0.000006           6         1           epoll_ctl
  0.02    0.000006           3         2           epoll_create1
  0.01    0.000004           4         1         1 rt_sigreturn
  0.01    0.000004           4         1           getcwd
  0.01    0.000003           3         1           prlimit64
  0.01    0.000002           0         3           gettid
  0.00    0.000001           0         2         1 faccessat2
  0.00    0.000000           0         2           poll
  0.00    0.000000           0        66           rt_sigaction
  0.00    0.000000           0        11           pread64
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           uname
  0.00    0.000000           0         7           fcntl
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         2           dup3
  0.00    0.000000           0         2           memfd_create
  0.00    0.000000           0         1           rseq
------ ----------- ----------- --------- --------- ----------------
100.00    0.028059           5      5198       309 total
